family,bank,peak_mean,rms_mean,crest_mean,safety_max,tail180_400_mean,tail400_750_mean,low180_rel_mean,low400_rel_mean,near90_mean
HARD,CORE,0.9224085000000001,0.08009642,12.16142,0.00833333,-14.310390000000002,-15.94244,-2.013008,-6.333045,0.3669444
HARD,HEAVY,0.9223285000000001,0.08164438,12.208459999999999,0.00625,-14.541749999999999,-16.04689,-1.810099,-6.013902,0.4633332
HARD,MUTANT,0.9225709999999999,0.08071644,12.03318,0.0166667,-13.93296,-15.593459999999999,-2.4377050000000002,-6.672625999999999,0.3397221
HARD,SUSTAIN,0.9225709999999999,0.08555466,11.82624,0.0125,-13.79341,-15.023150000000001,-2.254106,-5.818506,0.3544445
HARD,TIGHT,0.9225709999999999,0.07535175000000001,12.279959999999999,0.0125,-13.9823,-16.72805,-2.576218,-7.900225999999999,0.3075
INDUSTRIAL,CORE,0.9168977999999999,0.08187399,11.995239999999999,0.0,-13.610249999999999,-17.1368,-1.197193,-5.751032,0.39999989999999996
INDUSTRIAL,HEAVY,0.9171155000000001,0.08263407,11.94789,0.0,-13.54908,-17.31537,-1.1469211,-5.869182,0.44027779999999994
INDUSTRIAL,MUTANT,0.9181402000000001,0.08131745,12.03733,0.0,-13.616579999999999,-16.82754,-1.5800171,-5.986654,0.3863889
INDUSTRIAL,SUSTAIN,0.9183593999999999,0.08315721000000001,11.93291,0.0,-13.40467,-16.5893,-1.2696405,-5.482993,0.3794445
INDUSTRIAL,TIGHT,0.9161896,0.07718206,12.21442,0.0,-13.83492,-17.56447,-1.5693776,-6.5830269999999995,0.3800001
PUNCH,CORE,0.9225709999999999,0.0689158,12.83821,0.06875,-21.11353,-34.72901,-8.906843,-23.39384,0.7725008
PUNCH,HEAVY,0.9225709999999999,0.07223014,12.42952,0.0854167,-19.48964,-31.418529999999997,-7.920114,-20.81616,0.9538895000000001
PUNCH,MUTANT,0.9219228000000002,0.06521057,13.31311,0.0541667,-22.291710000000002,-36.88313,-9.659811999999999,-25.1224,0.5813889
PUNCH,SUSTAIN,0.9218773,0.07029905,12.66221,0.0583333,-18.9925,-29.757619999999996,-7.560976999999999,-19.15881,0.6563888999999999
PUNCH,TIGHT,0.9186761999999999,0.06264836,13.631229999999999,0.0458333,-24.87081,-42.40904,-11.134374,-29.58978,0.5308334
RAVE,CORE,0.9207143,0.08946631000000001,10.57348,0.0395833,-12.704460000000001,-19.20152,-3.3172240000000004,-11.040968,0.7719440000000001
RAVE,HEAVY,0.9216967,0.09158076,10.409507000000001,0.04375,-12.597629999999999,-18.47428,-3.042034,-10.161342999999999,0.9013888999999999
RAVE,MUTANT,0.9200207,0.08706704,10.79312,0.03125,-12.88637,-19.84721,-3.656612,-12.13398,0.6369445
RAVE,SUSTAIN,0.9169176,0.0907312,10.483791,0.0333333,-12.53693,-17.62522,-3.172829,-9.647155999999999,0.6300003000000001
RAVE,TIGHT,0.9194715,0.0857723,10.91108,0.0354167,-13.028989999999999,-21.66764,-3.774642,-13.669360000000001,0.6469448
ROUND,CORE,0.921969,0.1109786,9.002809000000001,0.03125,-10.087267,-14.77309,-0.11336688000000002,-4.602292,0.9786106
ROUND,HEAVY,0.9225709999999999,0.1164707,8.675087000000001,0.0604167,-9.60006,-13.98262,0.34113652,-3.727041,1.2683337
ROUND,MUTANT,0.9205525,0.10480832,9.427997999999999,0.00833333,-10.73131,-15.665690000000001,-0.7318736,-5.560974,0.6536112000000001
ROUND,SUSTAIN,0.9214106000000001,0.1127378,8.995155,0.01875,-10.102018,-14.317339999999998,-0.11415864999999999,-4.24165,0.8280547
ROUND,TIGHT,0.9156115,0.09646665,9.951267,0.0,-11.69164,-17.8475,-1.4432976,-7.528326,0.5583333
