family,bank_a,bank_b,centroid_distance,within_scatter,effect_ratio
INDUSTRIAL,CORE,HEAVY,0.27397940679702343,0.9220881443635259,0.2971293020862354
INDUSTRIAL,SUSTAIN,MUTANT,0.3544083061946134,0.9563642635707501,0.3705787843546125
INDUSTRIAL,CORE,MUTANT,0.3628450279534433,0.9641191915115142,0.3763487244603134
INDUSTRIAL,CORE,SUSTAIN,0.39084868549806767,0.9502687046394477,0.41130333303563094
HARD,CORE,HEAVY,0.40890713215557273,0.8075188183592111,0.5063747405737496
RAVE,CORE,HEAVY,0.4321177221539295,0.7861209682820081,0.5496834960371706
HARD,CORE,MUTANT,0.464841654002125,0.8304368628748703,0.5597555633457078
RAVE,TIGHT,MUTANT,0.49135332055295655,0.845175903655133,0.581362197416442
ROUND,CORE,SUSTAIN,0.3265863297106873,0.5592304781221616,0.5839923653781293
INDUSTRIAL,TIGHT,MUTANT,0.5510448424317705,0.9344222410402295,0.5897171730605851
RAVE,CORE,SUSTAIN,0.5409378529320409,0.8832168365273159,0.612463248615504
INDUSTRIAL,HEAVY,MUTANT,0.5894086049505667,0.9283687519482008,0.6348863032206177
