name,wave,ir,tune,body,punch,length,drive,colour,metal,reverb,reverbDecay,width,sub,impact,space,grit,shape,evolve,destroy,clipper,calibration,family,mode
Clean Weight,0,0,48.509,0.715,0.533,414.83,0.1746,0.1602,0.1054,0.0,400.0,1.0,0.9492,0.6503,0.0,0.0913,0.3853,0.0751,0.1814,0.038,-5.0,ROUND,CORE
Club Anchor,0,0,48.018,0.6286,0.4056,414.18,0.4646,0.1972,0.1559,0.0,400.0,1.0,0.9857,0.6777,0.0,0.2607,0.3767,0.3054,0.039,0.0345,-5.0,ROUND,CORE
Deep Concrete,0,0,48.281,0.7314,0.57,409.14,0.2476,0.4104,0.0195,0.0,400.0,1.0,0.9413,0.7594,0.0,0.0687,0.3034,0.3087,0.1228,0.1169,-5.0,ROUND,CORE
Round Hammer,0,0,51.901,0.6986,0.6238,357.24,0.2992,0.3551,0.0979,0.0,400.0,1.0,0.7816,0.7123,0.0,0.1142,0.2389,0.1075,0.1482,0.1156,-5.0,ROUND,CORE
Dark Pulse,0,0,50.37,0.6846,0.6757,429.76,0.3945,0.2769,0.1687,0.0,400.0,1.0,0.9351,0.5791,0.0,0.1724,0.2336,0.3769,0.2247,0.199,-5.0,ROUND,CORE
Tight Basement,0,0,52.784,0.8176,0.5539,370.25,0.4205,0.1066,0.0605,0.0,400.0,1.0,0.8003,0.4537,0.0,0.0809,0.2913,0.339,0.146,0.2646,-5.0,ROUND,CORE
Sub Foundation,0,0,49.356,0.9429,0.3649,304.34,0.3275,0.2957,0.0193,0.0,400.0,1.0,0.8951,0.4641,0.0,0.2342,0.1003,0.0928,0.0781,0.2246,-5.0,ROUND,CORE
Warm Reactor,0,0,48.253,0.9037,0.4544,351.87,0.3957,0.3721,0.0429,0.0,400.0,1.0,0.8911,0.5685,0.0,0.2663,0.3278,0.2216,0.1858,0.0522,-5.0,ROUND,CORE
Black Drum,0,0,54.649,0.7974,0.7109,469.89,0.3846,0.1167,0.1723,0.0,400.0,1.0,0.8267,0.7016,0.0,0.2397,0.4174,0.0903,0.1127,0.2297,-5.0,ROUND,CORE
Sub Vault,0,0,53.265,0.7579,0.7153,371.34,0.4323,0.4163,0.1611,0.0,400.0,1.0,0.9142,0.6313,0.0,0.085,0.2079,0.0692,0.0589,0.0426,-5.0,ROUND,CORE
Clean Weight / TIGHT,0,0,50.109,0.645,0.633,273.79,0.1546,0.1602,0.1054,0.0,400.0,1.0,0.8492,0.7253,0.0,0.0713,0.4353,0.0501,0.1814,0.038,-5.0,ROUND,TIGHT
Club Anchor / TIGHT,0,0,49.618,0.56,0.5056,273.36,0.4446,0.1972,0.1559,0.0,400.0,1.0,0.8857,0.7527,0.0,0.2407,0.4267,0.2804,0.039,0.0345,-5.0,ROUND,TIGHT
Deep Concrete / TIGHT,0,0,49.881,0.6614,0.67,270.03,0.2276,0.4104,0.0195,0.0,400.0,1.0,0.8413,0.82,0.0,0.0487,0.3534,0.2837,0.1228,0.1169,-5.0,ROUND,TIGHT
Round Hammer / TIGHT,0,0,53.501,0.6286,0.7238,235.78,0.2792,0.3551,0.0979,0.0,400.0,1.0,0.6816,0.7873,0.0,0.0942,0.2889,0.0825,0.1482,0.1156,-5.0,ROUND,TIGHT
Dark Pulse / TIGHT,0,0,51.97,0.6146,0.7757,283.64,0.3745,0.2769,0.1687,0.0,400.0,1.0,0.8351,0.6541,0.0,0.1524,0.2836,0.3519,0.2247,0.199,-5.0,ROUND,TIGHT
Tight Basement / TIGHT,0,0,54.384,0.7476,0.6539,244.37,0.4005,0.1066,0.0605,0.0,400.0,1.0,0.7003,0.5287,0.0,0.0609,0.3413,0.314,0.146,0.2646,-5.0,ROUND,TIGHT
Sub Foundation / TIGHT,0,0,50.956,0.8729,0.4649,220.0,0.3075,0.2957,0.0193,0.0,400.0,1.0,0.7951,0.5391,0.0,0.2142,0.1503,0.0678,0.0781,0.2246,-5.0,ROUND,TIGHT
Warm Reactor / TIGHT,0,0,49.853,0.8337,0.5544,232.23,0.3757,0.3721,0.0429,0.0,400.0,1.0,0.7911,0.6435,0.0,0.2463,0.3778,0.1966,0.1858,0.0522,-5.0,ROUND,TIGHT
Black Drum / TIGHT,0,0,56.249,0.7274,0.8,310.13,0.3646,0.1167,0.1723,0.0,400.0,1.0,0.7267,0.7766,0.0,0.2197,0.4674,0.0653,0.1127,0.2297,-5.0,ROUND,TIGHT
Sub Vault / TIGHT,0,0,54.865,0.6879,0.8,245.08,0.4123,0.4163,0.1611,0.0,400.0,1.0,0.8142,0.7063,0.0,0.065,0.2579,0.0442,0.0589,0.0426,-5.0,ROUND,TIGHT
Clean Weight / HEAVY,0,0,46.159,0.815,0.483,489.5,0.2096,0.1352,0.1054,0.0,400.0,1.0,0.99,0.6103,0.0,0.1313,0.4153,0.0651,0.1814,0.058,-5.0,ROUND,HEAVY
Club Anchor / HEAVY,0,0,45.668,0.7286,0.3556,488.73,0.4996,0.1722,0.1559,0.0,400.0,1.0,0.99,0.6377,0.0,0.3007,0.4067,0.2954,0.039,0.0545,-5.0,ROUND,HEAVY
Deep Concrete / HEAVY,0,0,45.931,0.8314,0.52,482.79,0.2826,0.3854,0.0195,0.0,400.0,1.0,0.99,0.7194,0.0,0.1087,0.3334,0.2987,0.1228,0.1369,-5.0,ROUND,HEAVY
Round Hammer / HEAVY,0,0,49.551,0.7986,0.5738,421.54,0.3342,0.3301,0.0979,0.0,400.0,1.0,0.8516,0.6723,0.0,0.1542,0.2689,0.0975,0.1482,0.1356,-5.0,ROUND,HEAVY
Dark Pulse / HEAVY,0,0,48.02,0.7846,0.6257,507.12,0.4295,0.2519,0.1687,0.0,400.0,1.0,0.99,0.5391,0.0,0.2124,0.2636,0.3669,0.2247,0.219,-5.0,ROUND,HEAVY
Tight Basement / HEAVY,0,0,50.434,0.9176,0.5039,436.89,0.4555,0.0816,0.0605,0.0,400.0,1.0,0.8703,0.4137,0.0,0.1209,0.3213,0.329,0.146,0.2846,-5.0,ROUND,HEAVY
Sub Foundation / HEAVY,0,0,47.006,0.98,0.3149,359.12,0.3625,0.2707,0.0193,0.0,400.0,1.0,0.9651,0.4241,0.0,0.2742,0.1303,0.0828,0.0781,0.2446,-5.0,ROUND,HEAVY
Warm Reactor / HEAVY,0,0,45.903,0.98,0.4044,415.21,0.4307,0.3471,0.0429,0.0,400.0,1.0,0.9611,0.5285,0.0,0.3063,0.3578,0.2116,0.1858,0.0722,-5.0,ROUND,HEAVY
Black Drum / HEAVY,0,0,52.299,0.8974,0.6609,554.47,0.4196,0.0917,0.1723,0.0,400.0,1.0,0.8967,0.6616,0.0,0.2797,0.4474,0.0803,0.1127,0.2497,-5.0,ROUND,HEAVY
Sub Vault / HEAVY,0,0,50.915,0.8579,0.6653,438.18,0.4673,0.3913,0.1611,0.0,400.0,1.0,0.9842,0.5913,0.0,0.125,0.2379,0.0592,0.0589,0.0626,-5.0,ROUND,HEAVY
Clean Weight / SUSTAIN,0,0,48.509,0.77,0.493,560.0,0.1746,0.2102,0.1304,0.0,400.0,1.0,0.8692,0.6053,0.0,0.1063,0.4253,0.1401,0.1814,0.028,-5.0,ROUND,SUSTAIN
Club Anchor / SUSTAIN,0,0,48.018,0.6836,0.3656,560.0,0.4646,0.2472,0.1809,0.0,400.0,1.0,0.9057,0.6327,0.0,0.2757,0.4167,0.3704,0.039,0.0245,-5.0,ROUND,SUSTAIN
Deep Concrete / SUSTAIN,0,0,48.281,0.7864,0.53,560.0,0.2476,0.4604,0.0445,0.0,400.0,1.0,0.8613,0.7144,0.0,0.0837,0.3434,0.3737,0.1228,0.1069,-5.0,ROUND,SUSTAIN
Round Hammer / SUSTAIN,0,0,51.901,0.7536,0.5838,492.99,0.2992,0.4051,0.1229,0.0,400.0,1.0,0.7016,0.6673,0.0,0.1292,0.2789,0.1725,0.1482,0.1056,-5.0,ROUND,SUSTAIN
Dark Pulse / SUSTAIN,0,0,50.37,0.7396,0.6357,560.0,0.3945,0.3269,0.1937,0.0,400.0,1.0,0.8551,0.5341,0.0,0.1874,0.2736,0.44,0.2247,0.189,-5.0,ROUND,SUSTAIN
Tight Basement / SUSTAIN,0,0,52.784,0.8726,0.5139,510.94,0.4205,0.1566,0.0855,0.0,400.0,1.0,0.7203,0.4087,0.0,0.0959,0.3313,0.404,0.146,0.2546,-5.0,ROUND,SUSTAIN
Sub Foundation / SUSTAIN,0,0,49.356,0.98,0.3249,419.99,0.3275,0.3457,0.0443,0.0,400.0,1.0,0.8151,0.4191,0.0,0.2492,0.1403,0.1578,0.0781,0.2146,-5.0,ROUND,SUSTAIN
Warm Reactor / SUSTAIN,0,0,48.253,0.9587,0.4144,485.58,0.3957,0.4221,0.0679,0.0,400.0,1.0,0.8111,0.5235,0.0,0.2813,0.3678,0.2866,0.1858,0.0422,-5.0,ROUND,SUSTAIN
Black Drum / SUSTAIN,0,0,54.649,0.8524,0.6709,560.0,0.3846,0.1667,0.1973,0.0,400.0,1.0,0.7467,0.6566,0.0,0.2547,0.4574,0.1553,0.1127,0.2197,-5.0,ROUND,SUSTAIN
Sub Vault / SUSTAIN,0,0,53.265,0.8129,0.6753,512.45,0.4323,0.4663,0.1861,0.0,400.0,1.0,0.8342,0.5863,0.0,0.1,0.2479,0.1342,0.0589,0.0326,-5.0,ROUND,SUSTAIN
Clean Weight / MUTANT,0,0,48.509,0.67,0.578,381.64,0.2746,0.2702,0.1954,0.0,400.0,1.0,0.8192,0.6953,0.0,0.1913,0.48,0.1651,0.2714,0.128,-5.0,ROUND,MUTANT
Club Anchor / MUTANT,0,0,48.018,0.5836,0.4506,381.05,0.5,0.3072,0.22,0.0,400.0,1.0,0.8557,0.7227,0.0,0.32,0.4767,0.3954,0.129,0.1245,-5.0,ROUND,MUTANT
Deep Concrete / MUTANT,0,0,48.281,0.6864,0.615,376.41,0.3476,0.48,0.1095,0.0,400.0,1.0,0.8113,0.8044,0.0,0.1687,0.4034,0.3987,0.2128,0.2069,-5.0,ROUND,MUTANT
Round Hammer / MUTANT,0,0,51.901,0.6536,0.6688,328.66,0.3992,0.4651,0.1879,0.0,400.0,1.0,0.68,0.7573,0.0,0.2142,0.3389,0.1975,0.2382,0.2056,-5.0,ROUND,MUTANT
Dark Pulse / MUTANT,0,0,50.37,0.6396,0.7207,395.38,0.4945,0.3869,0.22,0.0,400.0,1.0,0.8051,0.6241,0.0,0.2724,0.3336,0.44,0.28,0.289,-5.0,ROUND,MUTANT
Tight Basement / MUTANT,0,0,52.784,0.7726,0.5989,340.63,0.5,0.2166,0.1505,0.0,400.0,1.0,0.68,0.4987,0.0,0.1809,0.3913,0.429,0.236,0.3,-5.0,ROUND,MUTANT
Sub Foundation / MUTANT,0,0,49.356,0.8979,0.4099,279.99,0.4275,0.4057,0.1093,0.0,400.0,1.0,0.7651,0.5091,0.0,0.32,0.2003,0.1828,0.1681,0.3,-5.0,ROUND,MUTANT
Warm Reactor / MUTANT,0,0,48.253,0.8587,0.4994,323.72,0.4957,0.48,0.1329,0.0,400.0,1.0,0.7611,0.6135,0.0,0.32,0.4278,0.3116,0.2758,0.1422,-5.0,ROUND,MUTANT
Black Drum / MUTANT,0,0,54.649,0.7524,0.7559,432.3,0.4846,0.2267,0.22,0.0,400.0,1.0,0.6967,0.7466,0.0,0.32,0.48,0.1803,0.2027,0.3,-5.0,ROUND,MUTANT
Sub Vault / MUTANT,0,0,53.265,0.7129,0.7603,341.63,0.5,0.48,0.22,0.0,400.0,1.0,0.7842,0.6763,0.0,0.185,0.3079,0.1592,0.1489,0.1326,-5.0,ROUND,MUTANT
Clean Attack,1,0,51.471,0.7811,0.7119,173.57,0.4075,0.3175,0.1498,0.0,400.0,1.0,0.8577,0.847,0.0,0.3138,0.1233,0.1866,0.0913,0.2231,-5.0,PUNCH,CORE
Pressure Point,1,0,51.451,0.7604,0.9362,204.67,0.1357,0.6364,0.2127,0.0,400.0,1.0,0.8529,0.8663,0.0,0.1266,0.3619,0.2391,0.1152,0.2926,-5.0,PUNCH,CORE
Warehouse Knock,1,0,52.567,0.4919,0.9787,210.96,0.3471,0.3966,0.0363,0.0,400.0,1.0,0.9379,0.9146,0.0,0.1196,0.2217,0.1835,0.2514,0.1632,-5.0,PUNCH,CORE
Fast Driver,1,0,53.222,0.7433,0.7303,194.47,0.3407,0.3874,0.1089,0.0,400.0,1.0,0.9079,0.982,0.0,0.2622,0.3779,0.2228,0.1382,0.2815,-5.0,PUNCH,CORE
Techno Nail,1,0,58.489,0.6797,0.9114,205.16,0.155,0.2892,0.2903,0.0,400.0,1.0,0.9067,0.9222,0.0,0.2848,0.2471,0.2111,0.1996,0.2473,-5.0,PUNCH,CORE
Needle Punch,1,0,56.715,0.7184,0.725,247.73,0.1354,0.5214,0.2539,0.0,400.0,1.0,0.8115,0.9283,0.0,0.2943,0.1031,0.0737,0.0863,0.2173,-5.0,PUNCH,CORE
Front Row,1,0,56.133,0.4997,0.9497,254.27,0.2317,0.5603,0.2382,0.0,400.0,1.0,0.758,0.8018,0.0,0.1972,0.1242,0.1796,0.0943,0.0611,-5.0,PUNCH,CORE
Steel Toe,1,0,51.148,0.6455,0.9274,251.22,0.2712,0.5668,0.2527,0.0,400.0,1.0,0.9242,0.9666,0.0,0.1633,0.1746,0.2631,0.0798,0.2619,-5.0,PUNCH,CORE
Impact Driver,1,0,57.868,0.7797,0.9697,187.77,0.4104,0.3674,0.126,0.0,400.0,1.0,0.7536,0.9434,0.0,0.3337,0.3054,0.1481,0.16,0.1507,-5.0,PUNCH,CORE
Concrete Punch,1,0,55.902,0.6176,0.8728,238.07,0.2496,0.6423,0.2552,0.0,400.0,1.0,0.9261,0.968,0.0,0.2151,0.1745,0.2864,0.263,0.0817,-5.0,PUNCH,CORE
Clean Attack / TIGHT,1,0,53.271,0.7111,0.8119,140.0,0.4475,0.3325,0.1498,0.0,400.0,1.0,0.7577,0.922,0.0,0.3488,0.1733,0.1616,0.0913,0.2231,-5.0,PUNCH,TIGHT
