index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct_102,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db,safety_hit_pct_91,delta_safety,stage103_added_trim,predicted_safety_linear
0,Clean Weight,ROUND,CORE,1,1,0.921825,0.108176,9.19865,0.0,2.07037e-08,-5.98078,-4.27217,-7.11465,-10.3643,-15.1393,-14.4455,-0.34665,-4.74483,0.769444,-83.4083,6.8667e-07,37.4842,0.0,0.0,1.0,0.0
1,Club Anchor,ROUND,CORE,1,1,0.922571,0.114788,8.71879,0.0145833,-2.72945e-08,-5.68457,-4.0834,-6.9374,-9.55887,-14.1325,-13.755,0.0398302,-4.27625,1.46944,-82.7108,8.64104e-09,37.6234,0.0145833,0.0,1.0,0.0145833
2,Deep Concrete,ROUND,CORE,1,1,0.922571,0.109602,9.09439,0.00416667,-2.01268e-08,-5.88835,-4.22917,-7.03749,-10.1974,-14.9413,-14.4579,-0.141947,-4.56565,0.861111,-84.1148,4.25977e-07,38.1039,0.00416667,0.0,1.0,0.00416667
3,Round Hammer,ROUND,CORE,1,1,0.917297,0.102654,9.55936,0.0,-3.87831e-10,-6.57554,-4.57336,-7.10997,-11.0014,-15.9569,-15.1304,-0.776082,-5.71222,0.527778,-94.3866,-7.46818e-08,43.7204,0.0,0.0,1.0,0.0
4,Dark Pulse,ROUND,CORE,1,1,0.922571,0.115155,8.74735,0.0145833,-9.03932e-09,-5.85028,-4.17761,-6.77731,-9.70935,-14.0593,-14.3867,0.122796,-4.03164,1.03333,-79.5042,-1.46709e-07,36.2449,0.0145833,0.0,1.0,0.0145833
5,Tight Basement,ROUND,CORE,1,1,0.922571,0.110174,9.0703,0.00208333,-1.37277e-08,-6.3428,-4.26112,-6.85045,-10.1637,-14.823,-15.2433,-0.142045,-4.76489,0.855556,-89.8807,-3.15287e-07,42.1606,0.00208333,0.0,1.0,0.00208333
6,Sub Foundation,ROUND,CORE,1,1,0.922571,0.106522,9.22682,0.01875,-4.22403e-08,-5.92192,-4.22624,-6.85177,-10.4441,-15.8028,-15.0176,-0.317057,-5.47705,1.075,-107.532,-1.48588e-08,51.2121,0.01875,0.0,1.0,0.01875
7,Warm Reactor,ROUND,CORE,1,1,0.922571,0.110081,9.01594,0.0208333,-5.27301e-08,-5.84036,-4.19276,-6.81882,-10.1604,-14.9462,-14.6975,-0.12447,-4.81721,1.09167,-94.5132,-1.80323e-08,44.2513,0.0208333,0.0,1.0,0.0208333
8,Black Drum,ROUND,CORE,1,1,0.922571,0.117899,8.67685,0.00625,4.59815e-09,-6.1884,-4.38393,-6.50156,-9.66751,-13.6783,-15.3194,0.306946,-3.5238,0.941667,-73.7281,-5.75095e-07,33.7309,0.00625,0.0,1.0,0.00625
9,Sub Vault,ROUND,CORE,1,1,0.922571,0.114735,8.71964,0.03125,-7.3019e-08,-5.96942,-4.17217,-6.62328,-9.60564,-14.2513,-14.9818,0.24501,-4.10938,1.16111,-89.2681,1.81723e-07,41.904,0.03125,0.0,1.0,0.03125
10,Clean Weight / TIGHT,ROUND,TIGHT,1,1,0.913242,0.0943934,10.1066,0.0,-6.30984e-09,-6.49215,-4.71538,-7.47277,-11.934,-18.0882,-15.013,-1.52457,-7.52816,0.408333,-120.775,-4.25655e-09,56.9235,0.0,0.0,1.0,0.0
11,Club Anchor / TIGHT,ROUND,TIGHT,1,1,0.921176,0.101,9.60419,0.0,-5.99518e-10,-5.86183,-4.34894,-7.18345,-11.0462,-16.8976,-14.3227,-0.913547,-6.77794,0.747222,-120.194,-5.96321e-09,57.159,0.0,0.0,1.0,0.0
12,Deep Concrete / TIGHT,ROUND,TIGHT,1,1,0.918109,0.095757,10.0278,0.0,2.90475e-09,-6.37489,-4.6447,-7.39086,-11.7179,-17.8855,-14.9345,-1.44207,-7.44005,0.472222,-121.993,-1.0653e-11,57.7556,0.0,0.0,1.0,0.0
13,Round Hammer / TIGHT,ROUND,TIGHT,1,1,0.883653,0.0870678,10.4928,0.0,-8.83231e-10,-7.2694,-5.18397,-7.74968,-13.0521,-19.625,-15.7907,-2.49105,-9.07355,0.363889,-137.748,-5.72362e-10,65.9706,0.0,0.0,1.0,0.0
14,Dark Pulse / TIGHT,ROUND,TIGHT,1,1,0.92047,0.100588,9.65455,0.0,-2.56076e-09,-6.26468,-4.43591,-7.05837,-11.1419,-16.9211,-14.9351,-0.868113,-6.60446,0.588889,-115.531,-5.47254e-09,54.8646,0.0,0.0,1.0,0.0
15,Tight Basement / TIGHT,ROUND,TIGHT,1,1,0.91539,0.0942275,10.1362,0.0,-2.99984e-09,-6.91293,-4.82126,-7.24107,-11.9301,-18.1647,-15.7235,-1.77276,-8.01497,0.463889,-132.015,-1.44686e-09,63.7599,0.0,0.0,1.0,0.0
16,Sub Foundation / TIGHT,ROUND,TIGHT,1,1,0.921556,0.0946362,10.1279,0.0,-5.08809e-10,-6.43727,-4.44635,-7.29457,-12.0334,-18.7643,-15.4388,-1.82343,-8.50855,0.619444,-145.266,8.26069e-10,70.8347,0.0,0.0,1.0,0.0
17,Warm Reactor / TIGHT,ROUND,TIGHT,1,1,0.92225,0.0959778,10.0232,0.0,-6.0891e-09,-6.32958,-4.41859,-7.26605,-11.7935,-18.3943,-15.3455,-1.41323,-7.95003,0.655556,-138.43,8.26153e-11,67.0437,0.0,0.0,1.0,0.0
18,Black Drum / TIGHT,ROUND,TIGHT,1,1,0.916332,0.101523,9.59392,0.0,3.09237e-09,-6.55088,-4.88728,-6.83997,-11.0372,-16.2739,-15.6876,-0.969233,-6.08905,0.580556,-105.949,-2.08011e-08,50.2245,0.0,0.0,1.0,0.0
19,Sub Vault / TIGHT,ROUND,TIGHT,1,1,0.920628,0.0995018,9.71335,0.0,-3.79746e-09,-6.27355,-4.58723,-6.8646,-11.2298,-17.4602,-15.3335,-1.21492,-7.29643,0.688889,-131.127,4.39252e-09,63.6402,0.0,0.0,1.0,0.0
20,Clean Weight / HEAVY,ROUND,HEAVY,1,1,0.922571,0.112545,8.93298,0.0791667,-7.92916e-07,-5.81201,-4.08331,-7.04412,-9.98939,-14.502,-14.2119,0.0244583,-4.09891,1.07222,-76.1899,-1.25293e-07,33.7424,0.00833333,0.07083337,0.7,0.057916689
21,Club Anchor / HEAVY,ROUND,HEAVY,1,1,0.922571,0.117358,8.59701,0.00625,1.27381e-08,-5.74872,-3.96772,-6.97605,-9.38857,-13.7525,-13.6971,0.346007,-3.72265,1.61944,-75.4547,-5.94535e-07,33.7517,0.0270833,-0.0208333,0.7,0.012499990000000002
22,Deep Concrete / HEAVY,ROUND,HEAVY,1,1,0.922571,0.114231,8.81317,0.0958333,-1.10585e-06,-5.70792,-4.05256,-6.95435,-9.82433,-14.2683,-14.1903,0.21325,-3.86805,1.21111,-75.8596,8.41589e-09,33.6647,0.0166667,0.0791666,0.7,0.07208332
23,Round Hammer / HEAVY,ROUND,HEAVY,1,1,0.922571,0.11074,9.06819,0.0458333,-6.84214e-07,-6.21219,-4.29827,-6.86775,-10.2336,-14.6729,-14.813,-0.139719,-4.40759,0.841667,-80.999,-2.83825e-07,36.8242,0.00625,0.0395833,0.7,0.03395831
24,Dark Pulse / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118916,8.52079,0.0708333,-1.01171e-06,-5.68862,-4.06979,-6.76321,-9.30143,-13.6378,-14.2529,0.544899,-3.43907,1.26944,-74.6758,-4.71311e-07,33.7432,0.0375,0.0333333,0.7,0.06083331
