family,rank,distance_norm,preset_a,preset_b
ROUND,1,0.046509130247389556,Sub Foundation,Sub Foundation / HEAVY
ROUND,2,0.051915224193745335,Warm Reactor,Warm Reactor / HEAVY
ROUND,3,0.05452835312274979,Club Anchor,Club Anchor / HEAVY
ROUND,4,0.05495305319897726,Round Hammer,Round Hammer / HEAVY
ROUND,5,0.05554233247748622,Tight Basement,Tight Basement / HEAVY
ROUND,6,0.055592370674929344,Sub Vault,Sub Vault / HEAVY
ROUND,7,0.055629403515867475,Clean Weight,Clean Weight / HEAVY
ROUND,8,0.055793189793667194,Deep Concrete,Deep Concrete / HEAVY
ROUND,9,0.056830518151298214,Club Anchor / HEAVY,Club Anchor / SUSTAIN
ROUND,10,0.05707264224352223,Black Drum / HEAVY,Black Drum / SUSTAIN
PUNCH,1,0.04186483812277759,Clean Attack,Clean Attack / HEAVY
PUNCH,2,0.04393013599948926,Impact Driver,Impact Driver / HEAVY
PUNCH,3,0.0450793473562644,Pressure Point,Pressure Point / HEAVY
PUNCH,4,0.04576947317938493,Steel Toe,Steel Toe / HEAVY
PUNCH,5,0.046183552393028224,Warehouse Knock,Warehouse Knock / HEAVY
PUNCH,6,0.04689948719201702,Fast Driver,Fast Driver / HEAVY
PUNCH,7,0.04758010988582779,Concrete Punch,Concrete Punch / HEAVY
PUNCH,8,0.047794884604926126,Techno Nail,Techno Nail / HEAVY
PUNCH,9,0.048405371901031655,Impact Driver,Impact Driver / TIGHT
PUNCH,10,0.04980809333621081,Clean Attack,Clean Attack / SUSTAIN
HARD,1,0.0425499919748324,Crushed Rail,Crushed Rail / HEAVY
HARD,2,0.047607620821438074,Peak Control / TIGHT,Peak Control / MUTANT
HARD,3,0.049029084301214367,Clipped Concrete / TIGHT,Clipped Concrete / MUTANT
HARD,4,0.04908073644919188,Redline / TIGHT,Redline / MUTANT
HARD,5,0.05048948915447024,Peak Control,Peak Control / HEAVY
HARD,6,0.050601105172612654,Clipped Concrete,Clipped Concrete / HEAVY
HARD,7,0.051214865405835364,Main Room Block,Main Room Block / HEAVY
HARD,8,0.05182003426853385,Hammer Hall,Hammer Hall / HEAVY
HARD,9,0.0519294534923647,Redline,Redline / HEAVY
HARD,10,0.05193482115382355,Flat Top,Flat Top / HEAVY
INDUSTRIAL,1,0.04646741864269499,Machine Teeth,Machine Teeth / HEAVY
INDUSTRIAL,2,0.04816160188272405,Steel Chamber,Steel Chamber / HEAVY
INDUSTRIAL,3,0.04873570189972592,Broken Piston,Broken Piston / HEAVY
INDUSTRIAL,4,0.04980155354697865,Container Impact,Container Impact / HEAVY
INDUSTRIAL,5,0.05027143021581922,Rust Press,Rust Press / HEAVY
INDUSTRIAL,6,0.05116560151305764,Black Foundry,Black Foundry / HEAVY
INDUSTRIAL,7,0.051547319083377924,Factory Floor,Factory Floor / HEAVY
INDUSTRIAL,8,0.05268547140951326,Underground Unit,Underground Unit / HEAVY
INDUSTRIAL,9,0.05306232809493119,Industrial Clean,Industrial Clean / HEAVY
INDUSTRIAL,10,0.05397674291469422,Machine Teeth / TIGHT,Machine Teeth / MUTANT
RAVE,1,0.04469925897123176,Acid Hammer,Acid Hammer / HEAVY
RAVE,2,0.04496806530153571,Warehouse Rave,Warehouse Rave / HEAVY
RAVE,3,0.0451462384465864,Alarm State,Alarm State / HEAVY
RAVE,4,0.04590832678941895,Neon Tunnel,Neon Tunnel / HEAVY
RAVE,5,0.04640009083358653,Rave Foundation,Rave Foundation / HEAVY
RAVE,6,0.046499649469578276,Belgian Basement,Belgian Basement / HEAVY
RAVE,7,0.04916923918077037,Red Strobe,Red Strobe / HEAVY
RAVE,8,0.04937697278265698,Acid Hammer,Acid Hammer / TIGHT
RAVE,9,0.05121803151508242,Saw Pressure,Saw Pressure / HEAVY
RAVE,10,0.05147834184912084,Rave Saw,Rave Saw / HEAVY
