display_name,family,wave,mode,tune,body,punch,length,drive,colour,metal,sub,impact,grit,shape,evolve,destroy,clipper,reverb,reverbDecay,width,space,calibration
Clean Weight,ROUND,0,CORE,48.509,0.715,0.533,414.83,0.1746,0.1602,0.1054,0.9492,0.6503,0.0913,0.3853,0.0751,0.1814,0.038,0.0,400.0,1.0,0.0,-5.0
Club Anchor,ROUND,0,CORE,48.018,0.6286,0.4056,414.18,0.4646,0.1972,0.1559,0.9857,0.6777,0.2607,0.3767,0.3054,0.039,0.0345,0.0,400.0,1.0,0.0,-5.0
Deep Concrete,ROUND,0,CORE,48.281,0.7314,0.57,409.14,0.2476,0.4104,0.0195,0.9413,0.7594,0.0687,0.3034,0.3087,0.1228,0.1169,0.0,400.0,1.0,0.0,-5.0
Round Hammer,ROUND,0,CORE,51.901,0.6986,0.6238,357.24,0.2992,0.3551,0.0979,0.7816,0.7123,0.1142,0.2389,0.1075,0.1482,0.1156,0.0,400.0,1.0,0.0,-5.0
Dark Pulse,ROUND,0,CORE,50.37,0.6846,0.6757,429.76,0.3945,0.2769,0.1687,0.9351,0.5791,0.1724,0.2336,0.3769,0.2247,0.199,0.0,400.0,1.0,0.0,-5.0
Tight Basement,ROUND,0,CORE,52.784,0.8176,0.5539,370.25,0.4205,0.1066,0.0605,0.8003,0.4537,0.0809,0.2913,0.339,0.146,0.2646,0.0,400.0,1.0,0.0,-5.0
Sub Foundation,ROUND,0,CORE,49.356,0.9429,0.3649,304.34,0.3275,0.2957,0.0193,0.8951,0.4641,0.2342,0.1003,0.0928,0.0781,0.2246,0.0,400.0,1.0,0.0,-5.0
Warm Reactor,ROUND,0,CORE,48.253,0.9037,0.4544,351.87,0.3957,0.3721,0.0429,0.8911,0.5685,0.2663,0.3278,0.2216,0.1858,0.0522,0.0,400.0,1.0,0.0,-5.0
Black Drum,ROUND,0,CORE,54.649,0.7974,0.7109,469.89,0.3846,0.1167,0.1723,0.8267,0.7016,0.2397,0.4174,0.0903,0.1127,0.2297,0.0,400.0,1.0,0.0,-5.0
Sub Vault,ROUND,0,CORE,53.265,0.7579,0.7153,371.34,0.4323,0.4163,0.1611,0.9142,0.6313,0.085,0.2079,0.0692,0.0589,0.0426,0.0,400.0,1.0,0.0,-5.0
Clean Weight / TIGHT,ROUND,0,TIGHT,50.109,0.645,0.633,273.7878,0.15460000000000002,0.1602,0.1054,0.8492000000000001,0.7253,0.0713,0.43529999999999996,0.0501,0.1814,0.038,0.0,400.0,1.0,0.0,-5.0
Club Anchor / TIGHT,ROUND,0,TIGHT,49.618,0.56,0.5056,273.35880000000003,0.4446,0.1972,0.1559,0.8857,0.7526999999999999,0.2407,0.42669999999999997,0.2804,0.039,0.0345,0.0,400.0,1.0,0.0,-5.0
Deep Concrete / TIGHT,ROUND,0,TIGHT,49.881,0.6614,0.6699999999999999,270.0324,0.2276,0.4104,0.0195,0.8413,0.82,0.04869999999999999,0.3534,0.28369999999999995,0.1228,0.1169,0.0,400.0,1.0,0.0,-5.0
Round Hammer / TIGHT,ROUND,0,TIGHT,53.501000000000005,0.6286,0.7238,235.7784,0.2792,0.3551,0.0979,0.6816,0.7873,0.09419999999999999,0.2889,0.08249999999999999,0.1482,0.1156,0.0,400.0,1.0,0.0,-5.0
Dark Pulse / TIGHT,ROUND,0,TIGHT,51.97,0.6146,0.7757,283.6416,0.3745,0.2769,0.1687,0.8351000000000001,0.6540999999999999,0.1524,0.2836,0.3519,0.2247,0.199,0.0,400.0,1.0,0.0,-5.0
