family,parameter,min,mean,max,std
ROUND,tune,48.018,50.538599999999995,54.649,2.3118606013339127
ROUND,body,0.6286,0.76777,0.9429,0.09369276439512284
ROUND,punch,0.3649,0.56075,0.7153,0.11758449940362037
ROUND,length,304.34,389.284,469.89,44.865011133398816
ROUND,drive,0.1746,0.35411,0.4646,0.08620411185088564
ROUND,colour,0.1066,0.27071999999999996,0.4163,0.11271269493717201
ROUND,metal,0.0193,0.10034999999999998,0.1723,0.05886488341957368
ROUND,sub,0.7816,0.8920299999999999,0.9857,0.06457865049689412
ROUND,impact,0.4537,0.6198,0.7594,0.09760657764720572
ROUND,grit,0.0687,0.16133999999999998,0.2663,0.07776152261883765
ROUND,shape,0.1003,0.28825999999999996,0.4174,0.09106493507382521
ROUND,evolve,0.0692,0.19865,0.3769,0.11780433990307827
ROUND,destroy,0.039,0.12976000000000001,0.2247,0.056295029976011206
ROUND,clipper,0.0345,0.13177,0.2646,0.08566848953962011
PUNCH,tune,51.148,54.4966,58.489,2.6808742305449544
PUNCH,body,0.4919,0.67173,0.7811,0.10217474296517706
PUNCH,punch,0.7119,0.8713099999999999,0.9787,0.10150192559749792
PUNCH,length,173.57,216.78900000000004,254.27,27.431275380484955
PUNCH,drive,0.1354,0.26843,0.4104,0.10039910407966796
PUNCH,colour,0.2892,0.46853,0.6423,0.12498115898006386
PUNCH,metal,0.0363,0.1924,0.2903,0.07811497935735501
PUNCH,sub,0.7536,0.86365,0.9379,0.06560049161401153
PUNCH,impact,0.8018,0.91402,0.982,0.05549444656900366
PUNCH,grit,0.1196,0.23106,0.3337,0.07386861579859202
PUNCH,shape,0.1031,0.22137,0.3779,0.09455435526722183
PUNCH,evolve,0.0737,0.19939999999999997,0.2864,0.05755701521100621
PUNCH,destroy,0.0798,0.14790999999999999,0.263,0.06515491462660357
PUNCH,clipper,0.0611,0.19804000000000005,0.2926,0.07691113313428688
HARD,tune,49.478,52.8164,58.056,2.9963656719432614
HARD,body,0.6337,0.7615000000000001,0.8969,0.09673034684110257
HARD,punch,0.5949,0.7675599999999999,0.9034,0.11326482419533437
HARD,length,246.21,300.70199999999994,358.93,43.106617079051794
HARD,drive,0.4611,0.5783099999999999,0.8147,0.10428881483649145
HARD,colour,0.2627,0.44045999999999996,0.6143,0.1251658515730229
HARD,metal,0.085,0.19119000000000003,0.3089,0.07743959516939639
HARD,sub,0.725,0.8156100000000001,0.9432,0.0810219285132118
HARD,impact,0.6954,0.8169000000000001,0.953,0.08246841819751363
HARD,grit,0.5682,0.73059,0.9092,0.12427927783826231
HARD,shape,0.3043,0.42530999999999997,0.709,0.1250042835266056
HARD,evolve,0.115,0.30639000000000005,0.4535,0.12479107700472819
HARD,destroy,0.5205,0.76184,0.9074,0.11974964050050423
HARD,clipper,0.6394,0.7466999999999999,0.9484,0.09937933386776147
INDUSTRIAL,tune,47.137,51.578100000000006,56.931,3.2063741656269618
INDUSTRIAL,body,0.7474,0.8478899999999999,0.9805,0.08051748195267908
INDUSTRIAL,punch,0.5024,0.6675899999999999,0.8674,0.12300719044023402
INDUSTRIAL,length,322.3,390.43600000000004,498.0,66.08829748147548
INDUSTRIAL,drive,0.3819,0.53589,0.7367,0.11287838101248616
INDUSTRIAL,colour,0.3022,0.46292999999999995,0.6546,0.11630039595805337
INDUSTRIAL,metal,0.4362,0.6658099999999999,0.8679,0.14847808895591294
INDUSTRIAL,sub,0.7553,0.86901,0.9753,0.08163017150539376
INDUSTRIAL,impact,0.5841,0.81576,0.917,0.09859006237953195
INDUSTRIAL,grit,0.434,0.6163399999999999,0.848,0.16673630798359426
INDUSTRIAL,shape,0.453,0.6610699999999999,0.8819,0.12143233547947599
INDUSTRIAL,evolve,0.4954,0.66941,0.8741,0.13172363075773458
INDUSTRIAL,destroy,0.4138,0.6499000000000001,0.8257,0.11314238816641622
INDUSTRIAL,clipper,0.379,0.5870700000000001,0.7614,0.12311851241791381
RAVE,tune,51.587,56.43489999999999,59.733,2.3168139955551017
RAVE,body,0.4927,0.63012,0.7595,0.10211681350296825
RAVE,punch,0.6864,0.8377100000000001,0.9528,0.09223190825305526
RAVE,length,184.63,224.507,271.91,28.52830420827709
RAVE,drive,0.2835,0.44128,0.6756,0.13991200663274042
RAVE,colour,0.5882,0.7588999999999999,0.9294,0.12463520369462233
RAVE,metal,0.5146,0.69621,0.9319,0.15251483501613866
RAVE,sub,0.6437,0.77984,0.8845,0.09171334908288976
RAVE,impact,0.7322,0.8512799999999998,0.9962,0.09555627451925906
RAVE,grit,0.3579,0.57767,0.7365,0.12331474404952555
RAVE,shape,0.2069,0.42118,0.5925,0.13616182871862437
RAVE,evolve,0.1401,0.35349,0.5429,0.13450769829269996
RAVE,destroy,0.3697,0.52211,0.73,0.13300934140127152
RAVE,clipper,0.2908,0.49084000000000005,0.677,0.1275381605638093
