family,rank,distance_norm,preset_a,preset_b
ROUND,1,0.07593701367553336,Round Hammer,Sub Vault
ROUND,2,0.09003427463821491,Deep Concrete,Round Hammer
ROUND,3,0.10239597561270977,Clean Weight,Round Hammer
ROUND,4,0.10297125883418079,Dark Pulse,Tight Basement
ROUND,5,0.10360359470271548,Sub Foundation,Warm Reactor
ROUND,6,0.10388368364951346,Deep Concrete,Dark Pulse
ROUND,7,0.10707525153088636,Clean Weight,Deep Concrete
ROUND,8,0.11054892617531724,Deep Concrete,Warm Reactor
ROUND,9,0.1106608696455162,Round Hammer,Dark Pulse
ROUND,10,0.11352134539909065,Round Hammer,Warm Reactor
PUNCH,1,0.0840794378612979,Pressure Point,Steel Toe
PUNCH,2,0.08653007024466373,Steel Toe,Concrete Punch
PUNCH,3,0.08969909289454506,Clean Attack,Fast Driver
PUNCH,4,0.09524693571646774,Front Row,Concrete Punch
PUNCH,5,0.10251685114966756,Fast Driver,Impact Driver
PUNCH,6,0.10595844340477097,Front Row,Steel Toe
PUNCH,7,0.10610409505174842,Techno Nail,Impact Driver
PUNCH,8,0.1079995254341773,Techno Nail,Needle Punch
PUNCH,9,0.10934291559552071,Warehouse Knock,Steel Toe
PUNCH,10,0.11061922704115267,Fast Driver,Techno Nail
HARD,1,0.0933708848186407,Flat Top,Clipped Concrete
HARD,2,0.12090888755389027,Peak Control,Clipped Concrete
HARD,3,0.12177901610254976,Hard Clean,Peak Control
HARD,4,0.12764862420246356,Clipped Concrete,Guillotine
HARD,5,0.1277478447225148,Hard Clean,Main Room Block
HARD,6,0.12943969978624875,Block Maker,Clipped Concrete
HARD,7,0.13334175708979842,Peak Control,Flat Top
HARD,8,0.13583031638376541,Main Room Block,Guillotine
HARD,9,0.14068228800289623,Hard Clean,Block Maker
HARD,10,0.14184022986044045,Peak Control,Block Maker
INDUSTRIAL,1,0.12901887589490008,Black Foundry,Steel Chamber
INDUSTRIAL,2,0.1325022229158012,Black Foundry,Broken Piston
INDUSTRIAL,3,0.13640952802676684,Reactor Core,Container Impact
INDUSTRIAL,4,0.13777750164423283,Industrial Clean,Steel Chamber
INDUSTRIAL,5,0.1485095808109461,Steel Chamber,Factory Floor
INDUSTRIAL,6,0.149769989910184,Black Foundry,Underground Unit
INDUSTRIAL,7,0.15018937663141813,Reactor Core,Black Foundry
INDUSTRIAL,8,0.15461708287410464,Factory Floor,Rust Press
INDUSTRIAL,9,0.15670412354116756,Container Impact,Machine Teeth
INDUSTRIAL,10,0.15768206791163816,Industrial Clean,Broken Piston
RAVE,1,0.12652636612375084,Warehouse Rave,Acid Hammer
RAVE,2,0.13002814069337446,Rave Foundation,Overdrive 1999
RAVE,3,0.13070413360342736,Rave Saw,Neon Tunnel
RAVE,4,0.13081099325854914,Overdrive 1999,Belgian Basement
RAVE,5,0.13938499981921718,Rave Foundation,Belgian Basement
RAVE,6,0.14432645997678648,Neon Tunnel,Belgian Basement
RAVE,7,0.14655674600430238,Rave Saw,Overdrive 1999
RAVE,8,0.14735868550838996,Overdrive 1999,Alarm State
RAVE,9,0.1479453476080502,Warehouse Rave,Neon Tunnel
RAVE,10,0.1491218317215087,Saw Pressure,Neon Tunnel
