family,bank,tune_stage90_mean,tune_stage91_mean,length_stage90_mean,length_stage91_mean,body_stage90_mean,body_stage91_mean,punch_stage90_mean,punch_stage91_mean,drive_stage90_mean,drive_stage91_mean,metal_stage90_mean,metal_stage91_mean,sub_stage90_mean,sub_stage91_mean,impact_stage90_mean,impact_stage91_mean,grit_stage90_mean,grit_stage91_mean,shape_stage90_mean,shape_stage91_mean,evolve_stage90_mean,evolve_stage91_mean,destroy_stage90_mean,destroy_stage91_mean,clipper_stage90_mean,clipper_stage91_mean
ROUND,CORE,,,,,,,,,,,,,,,,,,,,,,,,,,
ROUND,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
ROUND,HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,,
ROUND,SUSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
ROUND,MUTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,CORE,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,SUSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,MUTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD,CORE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD,HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD,SUSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD,MUTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,CORE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,SUSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,MUTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVE,CORE,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVE,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVE,HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVE,SUSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVE,MUTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
