family,source,sample_rate,peak,crest_0_750_db,near90_0_750_pct,transient_centroid_hz,rms_0_30_db,shape_0_30_db,rms_30_80_db,shape_30_80_db,rms_80_180_db,shape_80_180_db,rms_180_400_db,shape_180_400_db,rms_650_750_db,shape_650_750_db
ROUND,approved,44100,0.9225709438323975,5.614125805924114,1.221466364323507,219.3484935980878,-4.05731273690352,0.9821509992415898,-4.720694330173682,0.31876940597142767,-5.03946373614511,0.0,-5.766957943029424,-0.7274942068843142,-9.132110586282652,-4.092646850137542
ROUND,compiled,48000,0.7379747629165649,6.547026705697769,1.8111111111111113,187.82595284517834,-6.242381114877772,1.0193304292132188,-6.002137398862516,1.2595741452284752,-7.261711544090991,0.0,-9.092773790814002,-1.831062246723011,-12.687355792776906,-5.425644248685915
PUNCH,approved,44100,0.9225709438323975,11.46865145632686,1.2305366591080877,273.75416355467615,-3.919556399812632,4.920211872437412,-5.102261947278443,3.7375063249716014,-8.839768272250044,0.0,-16.730692358944992,-7.890924086694948,-45.354584819427615,-36.514816547177574
PUNCH,compiled,48000,0.7496541738510132,11.193328421205905,1.638888888888889,234.7740282737124,-5.089472516667348,5.917314727217505,-6.053215391136927,4.953571852747926,-11.006787243884853,0.0,-19.84045162527283,-8.833664381387978,-46.07177490203953,-35.06498765815468
HARD,approved,44100,0.922571063041687,5.914929414614226,1.5449735449735449,396.4124139940855,-3.5766040888021573,1.6443407442538502,-4.165849881844478,1.0550949512115295,-5.2209448330560075,0.0,-6.410615584505358,-1.1896707514493503,-9.792371008678266,-4.571426175622259
HARD,compiled,48000,0.7492653131484985,5.829439651499691,4.372222222222223,275.21826169282906,-5.723847719865115,0.8197910914372111,-5.773292590496749,0.7703462208055774,-6.543638811302326,0.0,-7.986241652581176,-1.44260284127885,-12.026823853080177,-5.483185041777851
INDUSTRIAL,approved,44100,0.9225709438323975,5.233811798488993,1.9591836734693877,409.4064178922519,-3.8594235032048116,0.8837325577264332,-4.285263371922202,0.4578926890090429,-4.743156060931245,0.0,-5.90118920012956,-1.1580331391983147,-7.839885731084796,-3.096729670153551
INDUSTRIAL,compiled,48000,0.7065238952636719,7.388043835568836,1.4194444444444445,333.2394447088867,-8.524860440829295,0.26478505882839265,-8.471516083094215,0.3181294165634725,-8.789645499657688,0.0,-10.20251843740861,-1.4128729377509224,-12.848198072220757,-4.05855257256307
RAVE,approved,44100,0.9225709438323975,7.657045383180241,1.2819349962207105,372.19338279183313,-6.354826371634407,-1.1653117019656616,-5.408651903355657,-0.21913723368691151,-5.189514669668745,0.0,-7.262824051028658,-2.0733093813599126,-17.389290814962628,-12.199776145293882
RAVE,compiled,48000,0.7705738544464111,5.9557148196018925,4.4222222222222225,265.28851898410073,-6.35513773672054,0.13685488002218626,-5.37916428350816,1.1128283332345656,-6.491992616742726,0.0,-7.429889057651882,-0.9378964409091557,-14.465565297417855,-7.9735726806751295
