bank,family,min_pair_distance,median_pair_distance,max_pair_distance,unique_parameter_vectors
current50,ROUND,0.07593701367553336,0.1282167422828359,0.18421515886069764,10
current50,PUNCH,0.0840794378612979,0.12250815662821463,0.16078320781726804,10
current50,HARD,0.0933708848186407,0.15542196060616797,0.22493052339203592,10
current50,INDUSTRIAL,0.12901887589490008,0.17647228401657644,0.2234513661085531,10
current50,RAVE,0.12652636612375084,0.17020280414276193,0.22840728639015653,10
candidate250,ROUND,0.046509130247389556,0.14840996233876821,0.23266606347751012,50
candidate250,PUNCH,0.04186483812277759,0.13227269503269617,0.20950041673203856,50
candidate250,HARD,0.0425499919748324,0.16044175957384962,0.27985692682749175,50
candidate250,INDUSTRIAL,0.04646741864269499,0.1810776405295814,0.27327304837861593,50
candidate250,RAVE,0.04469925897123176,0.17441867096142052,0.2692100825930439,50
