kind,index,family,name,pre_safety_peak,post_peak,pre_over_pct,trim_db_to_0p86,trim_db_to_0p82
factory,0,0,"Clean Weight",1.00478,0.922571,1.02083,-1.35149,-1.76518
factory,1,0,"Club Anchor",1.062,0.922571,2.73542,-1.83255,-2.24624
factory,2,0,"Deep Concrete",1.02002,0.922571,1.35625,-1.48221,-1.89591
factory,3,0,"Round Hammer",0.956909,0.922571,0.36875,-0.927439,-1.34113
factory,4,0,"Dark Pulse",1.03363,0.922571,1.91458,-1.59733,-2.01102
factory,5,0,"Tight Basement",1.00455,0.922571,1.06875,-1.34949,-1.76318
factory,6,0,"Sub Foundation",1.03928,0.922571,1.46875,-1.6447,-2.05839
factory,7,0,"Warm Reactor",1.05079,0.922571,1.86875,-1.74031,-2.154
factory,8,0,"Black Drum",1.00709,0.922571,1.31667,-1.3714,-1.78509
factory,9,0,"Sub Vault",1.03296,0.922571,1.82083,-1.59171,-2.0054
factory,10,1,"Clean Attack",0.998518,0.922571,0.93125,-1.29715,-1.71084
factory,11,1,"Pressure Point",0.98289,0.922571,0.704167,-1.16013,-1.57382
factory,12,1,"Warehouse Knock",1.03879,0.922571,1.25,-1.64061,-2.0543
factory,13,1,"Fast Driver",1.03309,0.922571,1.25625,-1.59279,-2.00648
factory,14,1,"Techno Nail",0.989601,0.922571,0.88125,-1.21923,-1.63292
factory,15,1,"Needle Punch",0.989721,0.922571,0.739583,-1.22029,-1.63398
factory,16,1,"Front Row",0.973248,0.922571,0.5375,-1.0745,-1.4882
factory,17,1,"Steel Toe",1.04753,0.922571,1.3625,-1.71334,-2.12703
factory,18,1,"Impact Driver",0.978672,0.922571,0.6125,-1.12277,-1.53646
factory,19,1,"Concrete Punch",1.03854,0.922571,1.32917,-1.63848,-2.05217
factory,20,2,"Hard Clean",0.987454,0.922571,1.825,-1.20037,-1.61406
factory,21,2,"Peak Control",0.98763,0.922571,1.60625,-1.20192,-1.61561
factory,22,2,"Flat Top",1.00831,0.922571,2.74792,-1.38192,-1.79562
factory,23,2,"Redline",1.00146,0.922571,2.32917,-1.32267,-1.73636
factory,24,2,"Block Maker",1.00578,0.922571,2.42083,-1.36007,-1.77376
factory,25,2,"Crushed Rail",1.02796,0.922571,4.44792,-1.54955,-1.96324
factory,26,2,"Clipped Concrete",1.0088,0.922571,2.2625,-1.3861,-1.79979
factory,27,2,"Hammer Hall",1.00398,0.922571,2.3125,-1.34457,-1.75826
factory,28,2,"Main Room Block",1.01198,0.922571,3.31458,-1.41343,-1.82713
factory,29,2,"Guillotine",1.01469,0.922571,3.51458,-1.43673,-1.85042
factory,30,3,"Industrial Clean",1.19575,0.922571,4.41042,-2.86283,-3.27652
factory,31,3,"Reactor Core",1.21127,0.922571,4.59167,-2.97486,-3.38855
factory,32,3,"Black Foundry",1.1697,0.922571,3.85833,-2.67154,-3.08523
factory,33,3,"Steel Chamber",1.1833,0.922571,4.32083,-2.77196,-3.18565
factory,34,3,"Container Impact",1.2511,0.922571,5.66458,-3.25585,-3.66955
factory,35,3,"Factory Floor",1.23189,0.922571,5.75625,-3.12144,-3.53514
factory,36,3,"Rust Press",1.30501,0.922571,7.92083,-3.62229,-4.03598
factory,37,3,"Broken Piston",1.19998,0.922571,4.58333,-2.8935,-3.30719
factory,38,3,"Machine Teeth",1.2762,0.922571,6.03958,-3.42842,-3.84211
factory,39,3,"Underground Unit",1.2821,0.922571,7.02292,-3.46849,-3.88218
factory,40,4,"Rave Foundation",0.818292,0.818292,0,0,0
factory,41,4,"Saw Pressure",0.843587,0.843587,0,0,-0.246324
factory,42,4,"Warehouse Rave",0.863361,0.863361,0,-0.0338831,-0.447575
factory,43,4,"Red Strobe",0.829141,0.829141,0,0,-0.096286
factory,44,4,"Rave Saw",0.82422,0.82422,0,0,-0.0445897
factory,45,4,"Overdrive 1999",0.827992,0.827992,0,0,-0.0842435
factory,46,4,"Neon Tunnel",0.838366,0.838366,0,0,-0.192395
factory,47,4,"Acid Hammer",0.876123,0.876123,0,-0.16133,-0.575022
factory,48,4,"Alarm State",0.846704,0.846704,0,0,-0.278357
factory,49,4,"Belgian Basement",0.85142,0.85142,0,0,-0.326597
random,0,3,"random",1.3201,0.922571,7.94167,-3.72219,-4.13588
random,1,0,"random",1.00305,0.922571,0.979167,-1.33652,-1.75021
random,2,2,"random",1.00535,0.922571,2.12083,-1.35636,-1.77005
random,3,2,"random",1.02674,0.922571,4.54583,-1.53927,-1.95296
random,4,1,"random",0.985485,0.922571,0.71875,-1.18304,-1.59673
random,5,0,"random",1.03624,0.922571,2.00417,-1.61921,-2.0329
random,6,4,"random",0.843602,0.843602,0,0,-0.246479
random,7,4,"random",0.818473,0.818473,0,0,0
random,8,1,"random",0.986589,0.922571,0.875,-1.19275,-1.60645
random,9,2,"random",1.00898,0.922571,3.16667,-1.38766,-1.80136
random,10,4,"random",0.867581,0.867581,0,-0.0762329,-0.489925
random,11,0,"random",1.0314,0.922571,1.63542,-1.57859,-1.99228
random,12,1,"random",1.04611,0.922571,1.34583,-1.70159,-2.11529
random,13,0,"random",1.00229,0.922571,1.01667,-1.32986,-1.74356
random,14,4,"random",0.836639,0.836639,0,0,-0.174486
random,15,0,"random",1.04209,0.922571,1.61458,-1.66813,-2.08182
random,16,2,"random",1.01363,0.922571,3.5,-1.4276,-1.8413
random,17,0,"random",1.03018,0.922571,1.35,-1.56828,-1.98197
random,18,3,"random",1.20076,0.922571,4.57917,-2.89912,-3.31281
random,19,1,"random",1.04885,0.922571,1.48333,-1.72427,-2.13796
random,20,2,"random",1.00395,0.922571,2.51875,-1.34427,-1.75796
random,21,0,"random",1.00263,0.922571,0.9625,-1.33287,-1.74656
random,22,0,"random",0.946328,0.922571,0.25625,-0.830861,-1.24455
